2000
{30, -11, 4, 2, -61, -42, 0, -50, 29, 9, -62, 26, 1, -44, 36, 14} 
{24, 39, 36, 28, -10, -43, 60, -15, 41, -34, 44, -13, -50, 33, -28, 12} 
{18, 27, -26, 39, 23, -44, -29, 6, 57, 2, 45, -60, -33, -1, 13, -38} 
{12, -26, -32, -21, 25, 11, 7, -14, 13, -36, -23, 29, -17, -52, -7, -41} 
{6, -52, -25, -43, 45, -20, 44, -61, -23, 54, -15, 9, -6, 53, 26, -30} 


{1242, -676, -4706, 2006, -416, -3455, -1974, 1522, -4242, -7275, -7502, -1738, -4144, 4101, 510, -4347} 
{1992, -2086, 4647, 50, 5857, -1742, -7243, -7069, 871, 7344, 1987, -5389, -1123, 818, 2425, -6913} 
{2742, -4311, 4483, 4371, 2188, 7660, 7514, 7728, -6857, -123, -812, 3288, -565, 5459, 4829, 6119} 
{3492, 3127, -774, 4158, 2848, 7468, 7218, 5710, 5028, 4587, 5339, -4316, 7235, 1591, 3565, 238} 
{4242, -5754, 3091, 6714, 997, 7299, -5540, -5412, 2545, -863, 6956, -7851, -5808, 3848, -2884, -2642} 
