2000
{-36, 18, -8, -27, 10, 62, -18, -39, 5, 36, -45, 51, 47, 3, 48, -61} 
{-33, 54, 18, -10, 41, -2, -1, -27, 59, -44, 23, -12, -8, 4, -24, -61} 
{-30, -10, -21, -59, -44, 51, 39, 61, 15, -49, 28, 54, 55, -43, 58, -14} 
{-27, 21, 11, 37, -46, -28, 40, -24, 28, 23, -30, 54, 52, -41, -1, -29} 
{-24, 33, 25, 34, 44, -18, 58, 23, 62, -10, -21, -56, -40, 53, -5, -42} 


{-755, 1457, -181, -3747, 5363, -6571, -7326, -7870, -2154, 678, -7283, -6923, 2656, 493, -2020, -1976} 
{125, 1584, -163, -156, -3066, -4973, -2773, -7890, 5823, -1605, 5983, -3975, 6025, -118, 776, -6287} 
{1005, 1543, -7641, 5576, -1587, 534, 4488, 4788, 7769, 2049, 6122, 1216, 7037, -5754, -1262, 3900} 
{1885, -4926, -1604, -1827, 5487, 3252, 5072, 2377, 7380, -2427, -6763, -75, 349, 4664, -1863, 7946} 
{2765, 6204, 784, 6692, 993, 5578, 5672, 1887, 7447, 6567, 351, 4861, 5133, 1858, 2525, -1305} 
